Age,Year-of-Study,Gender,reserved,trusting,lazy,relaxed,few-artistic-interests, outgoing-sociable,find-fault-with-others,does-thorough-job,nervous,active-imagination
22,4,2,3,2,1,2,5,2,1,5,3,2
23,4,2,5,4,3,2,1,1,3,4,4,4
22,4,2,4,5,4,4,2,2,3,3,4,4
24,4,1,4,4,3,4,2,3,2,4,4,4
23,3,1,2,4,3,5,1,5,1,2,2,4
24,4,1,5,2,4,4,1,2,4,2,1,5
27,1,1,4,4,2,3,2,3,3,4,2,4
22,3,2,4,4,1,2,5,4,3,5,5,4
23,4,2,4,2,1,2,2,1,1,5,4,2
22,3,2,5,2,2,3,4,2,2,4,4,2
23,4,2,4,4,4,4,2,5,4,3,2,4
22,4,2,2,4,1,5,1,4,1,4,2,4
21,3,2,4,5,4,2,3,2,1,4,5,4
25,4,2,3,2,1,4,4,3,1,4,3,5
21,4,2,5,5,2,2,2,2,1,5,5,3
22,4,2,5,4,5,1,2,1,4,4,4,4
21,4,2,4,2,2,2,3,2,4,4,3,3
23,3,1,5,2,1,3,5,2,3,5,4,1
24,4,2,2,5,4,4,2,5,4,5,5,2
23,4,2,5,5,4,2,3,2,2,4,5,5
24,4,1,5,4,5,5,5,1,4,4,2,4
22,4,2,4,2,4,2,2,2,4,4,4,2
22,4,2,5,1,4,4,1,1,2,5,5,5
23,4,2,5,4,1,4,2,3,1,5,2,4
22,4,2,2,4,4,4,1,5,1,5,4,5
21,4,2,5,2,4,2,4,1,2,3,3,4
24,4,1,4,4,5,3,5,2,4,3,4,4
22,4,2,4,5,2,4,2,3,2,4,4,3
22,4,2,4,4,3,4,4,4,2,4,3,4
25,4,1,5,4,4,2,2,4,4,4,5,5
22,4,2,4,4,4,1,5,2,2,4,5,5
21,3,2,4,5,2,4,4,2,2,5,2,4
25,4,1,4,4,3,4,5,5,2,4,2,4
23,4,2,5,5,4,2,4,1,1,4,2,2
21,3,2,2,4,3,2,1,4,3,2,4,4
22,4,2,3,4,4,3,4,4,2,4,4,2
22,4,2,4,4,2,2,2,4,3,4,4,3
22,4,2,2,2,4,2,2,4,2,4,4,5
26,3,1,4,3,3,4,1,4,2,4,2,5
22,4,2,2,4,4,4,4,4,4,4,4,4
24,4,2,4,4,4,4,1,4,1,4,2,4
21,4,2,2,2,4,,1,2,,5,5,5
22,4,2,5,4,5,2,2,2,2,4,4,2
21,3,2,4,2,4,2,4,2,2,4,4,4
22,4,2,4,4,2,4,2,4,2,4,2,5
22,4,2,3,4,5,1,3,4,3,4,5,4
21,4,2,5,4,3,2,4,1,1,5,4,5
21,4,2,1,4,2,4,1,5,2,4,4,5
,4,2,4,4,4,2,2,4,4,2,4,5
22,4,2,4,4,1,2,5,4,1,3,2,4
23,4,2,5,4,4,4,3,4,2,4,4,4
21,3,1,4,3,4,4,2,4,4,3,5,4
23,4,2,4,2,4,2,1,4,3,3,4,2
22,4,2,4,5,4,2,1,1,3,3,4,5
23,3,1,2,5,1,2,2,3,1,4,5,5
22,4,2,4,5,2,1,2,4,4,4,4,3
21,3,2,5,4,2,3,4,2,3,4,5,3
22,4,2,4,5,3,2,4,4,2,4,3,4
24,4,1,3,3,4,5,5,3,4,5,1,2
22,4,2,5,2,1,4,1,3,2,5,4,5
24,4,1,5,5,4,3,1,4,1,4,5,4
24,4,1,2,2,4,3,4,4,3,4,4,4
22,4,2,2,2,4,2,2,4,2,3,4,4
22,3,1,4,5,5,3,4,4,1,3,5,5
22,4,2,5,4,2,4,2,4,2,5,2,5
22,4,2,4,4,5,4,5,2,3,3,4,2
22,4,2,4,4,3,2,3,3,2,4,4,4
24,3,1,2,5,4,2,1,5,1,4,5,5
22,4,2,4,5,4,4,5,4,1,4,4,5
21,4,2,4,5,4,5,2,2,3,4,3,2
21,3,2,4,2,4,4,5,3,4,4,3,4
22,4,2,5,2,5,2,4,1,2,4,5,4
22,4,2,4,4,4,3,3,4,3,4,3,2
24,4,1,4,4,4,4,4,4,2,3,3,4
21,4,2,4,4,5,2,3,2,3,4,3,3
23,3,1,5,2,1,4,3,1,5,5,5,4
,4,1,5,3,5,4,2,4,5,3,1,4
25,4,1,4,4,5,3,2,4,3,2,3,3
22,4,2,5,3,3,1,3,2,3,4,4,3
22,4,2,4,3,5,2,3,2,4,4,4,3
21,3,2,4,4,4,4,2,3,2,4,4,5
22,4,2,5,2,2,4,1,3,2,5,5,5